beta,delta,c,est_pE1,est_pE2,est_pE3,est_pK1,est_pK2,est_pK3,sum_rss,convergence
1e-06,7,6,200,118.526541412277,2.71786814673825,99.4031967493132,171.009830194746,199.357682461822,2521.04213085503,0
1e-06,7,7,184.245838374249,122.67571643134,6.0242284765592,89.6313335137238,175.068254849036,198.685827800756,2521.05755454613,0
1e-06,7,8,184.619533133219,124.858906223127,8.80866960999528,91.0255514328246,176.949038224374,198.228924185986,2521.05975158901,0
1e-06,7,9,188.126087180935,128.850893046628,11.0966360812783,94.3535535453244,181.155249578861,197.951681153699,2521.06019683991,0
1e-06,7,10,190.2990926384,131.417290634636,13.0430160796595,96.5186834940116,183.813065750955,198.36380367445,2521.06001632211,0
1e-06,8,1,200,134.731768266281,0,87.1262096038646,200,200,2708.64827218123,0
1e-06,8,2,200,137.208391650316,0,89.3106968904113,200,200,2655.5870098233,0
1e-06,8,3,200,138.805393489686,0,91.6703243031612,200,200,2602.266749266,0
1e-06,8,4,200,140.08016525238,0,93.9412507284639,200,200,2557.9545429208,0
1e-06,8,5,200,141.187042526647,0,96.0043300711268,200,200,2531.53730767426,0
1e-06,8,6,200,114.240113166952,0,97.8269459629329,166.964512395199,200,2521.50556841884,0
1e-06,8,7,200,118.523974651212,2.71819726679225,99.4024369909237,171.005791671589,199.35759043753,2521.06176329039,0
1e-06,8,8,200,122.676210498971,6.02448819569305,100.731405182072,175.068146100414,198.685764074821,2521.0610472199,0
1e-06,8,9,184.611877335528,124.855987279168,8.80886963008966,91.0206519019793,176.945220647477,198.228844187213,2521.06228408644,0
1e-06,8,10,188.124812838832,128.874617087944,11.0968021158359,94.352994944914,181.18338183857,197.951621639653,2521.06743456899,0
1e-06,9,1,200,133.537281520388,0,83.895514590873,200,200,2862.14608926685,0
1e-06,9,2,200,135.856375127829,0,86.427040536172,200,200,2770.86005198431,0
1e-06,9,3,200,137.479967347344,0,89.085159923481,200,200,2680.00374705288,0
1e-06,9,4,200,102.720967398742,0,91.6164828456112,157.523400248755,200,2608.04594059732,0
1e-06,9,5,200,106.655421392876,0,93.9299013107307,160.599879201372,200,2559.06116284325,0
1e-06,9,6,174.682909307924,109.65843065141,0,77.9669419944597,162.749648464372,200,2531.75510712062,0
1e-06,9,7,177.701810793917,114.240330173419,0,82.0125971435219,166.964015874955,200,2521.51131349011,0
1e-06,9,8,200,118.524836917077,2.7184786763997,99.4028386968131,171.006482617955,199.3575285028,2521.06325499388,0
1e-06,9,9,200,122.677920510398,6.02471912374059,100.731677441825,175.069783862272,198.685728369224,2521.06914439639,0
1e-06,9,10,184.591175654922,144.257599699442,8.80917568917342,91.0062859417219,200,198.229123747779,2521.06850050774,0
1e-06,10,1,200,132.121470861443,0,80.4948840524911,200,200,3047.40159611748,0
1e-06,10,2,200,134.333788359233,0,83.3485768145329,200,200,2913.8635509575,0
1e-06,10,3,200,136.019709670211,0,86.2773378016648,200,200,2785.85316236353,0
1e-06,10,4,200,99.0152357529065,0,89.0537557049742,154.893504218154,200,2683.08556538936,0
1e-06,10,5,173.229958680094,102.720850346663,0,72.2910361010561,157.520829536588,200,2608.10057770202,0
1e-06,10,6,172.973322120545,106.65567579611,0,74.5652979590363,160.599153302525,200,2559.06873127235,0
1e-06,10,7,174.679805779067,109.658668611388,0,77.9650423719177,162.749505575993,200,2531.75441193626,0
1e-06,10,8,177.701573179209,114.241373488174,0,82.0128965006681,166.96485385033,200,2521.5163676511,0
1e-06,10,9,180.414222276001,142.987946562618,2.71871341304051,85.5671866946767,200,199.357499783835,2521.06557303097,0
1e-06,10,10,184.243992884099,143.688312570079,6.02495525405671,89.6320179362445,200,198.685721924628,2521.12119374931,0
1.08888888888889e-05,1,1,59.398758145965,6.62803244397651,18.2455328732002,38.5965869796541,10.7987214903893,59.7513965801393,2352.15111146904,0
1.08888888888889e-05,1,2,71.7000638909554,8.70587877870276,22.4378740420648,48.2125540634835,13.3488463933788,67.0481511428131,2344.81940321691,0
